Context,Topic of discussion,Representative tweet id,Representative tweet
to the Tonight,0.tonight show,451527709731344384,Got to deliver some straight talk to our neighbor, the tyrant across the Bering Strait. Tune in to the Tonight... http://t.co/UKzQhNGurI
some straight talk to our neighbor,1.talk,451527709731344384,Got to deliver some straight talk to our neighbor, the tyrant across the Bering Strait. Tune in to the Tonight... http://t.co/UKzQhNGurI
to our neighbor the tyrant across the,2.neighbor,451527709731344384,Got to deliver some straight talk to our neighbor, the tyrant across the Bering Strait. Tune in to the Tonight... http://t.co/UKzQhNGurI
the tyrant across the Bering Strait,3.tyrant,451527709731344384,Got to deliver some straight talk to our neighbor, the tyrant across the Bering Strait. Tune in to the Tonight... http://t.co/UKzQhNGurI
Bering Strait Tune in to the Tonight,4.bering strait,451527709731344384,Got to deliver some straight talk to our neighbor, the tyrant across the Bering Strait. Tune in to the Tonight... http://t.co/UKzQhNGurI
see you Sarah Then I'll,5.sarah palins palin,451529111043702786,@SarahPalinUSA I will watch his show for the first time only to see you Sarah.  Then I'll tune to another channel. Watch out for his band!
offended when someone calls Palin,6.troll someone,452613702299029504,@LZWhiskyRiver @laamigable21 @SarahPalinUSA nah, I just don't give a shit. You seem to be offended when someone calls Palin out.
Hey Shitbag Obama's got a,7.shitbag,451609402764558336,@SarahPalinUSA Hey Shitbag! Obama's got a personal message just for you: http://t.co/4vC2h60ima
find the interview of Glen Rice,8.interview,452919272163930112,@LZWhiskyRiver @tanya_marie34 @laamigable21 @SarahPalinUSA If ur unable to find the interview of Glen Rice, than perhaps you could ask SP
to her house to write trashy book,9.house doofus,451935705972105216,@LZWhiskyRiver @Doyouhaveaflag @SarahPalinUSA Yes, and that was a rumor started by the guy that moved next to her house to write trashy book
