Topic of discussion,Representative tweet
nicht Kurz hatte damals eine,0.kann bedrücke findne zu ich würde sagne dachte diesem lizas thema foda verstehen wissne richtig nie nicht dirkie unbezahlbar ja b eher denke welt traune den geirrt,456504101711667200
Weiß nicht Kurz hatte damals,1.verstehen ich findne preetz richtig gerade weiß nicht traune geirrt unbezahlbar ja,456504101711667200
doof ist X ),2.doof bin ist,456543405284151296
Aber warum machstu dann X,3.kann aber findne rechte wirklich brauche zu ich dann sagne dachte diesem lizas thema verstehen wissne böse richtig auch doch nicht dirkie nie kleinalexchens ja würde haben welt traune,456524288875831296
Und Und X ),4.linke schlaf träum und schnö sogar eine,456514910890246144
Der #FCK will gar nicht,5.der fck kostengünstige,456480069578280960
welches Nachtreten du meinst,6.nachtreten welches wissne noch von nie etwa du meinst,456504542826627072
nicht Kurz hatte damals eine,7.kurz,456504101711667200
Schon fast ein Neuntel durch,8.eindeutigeres ein,456502814920163328
noch unter vertrag gibts da,9.prämien wissne noch vereinslos nie spricht er,456502465203298304
